Name,Register No.,Department,Current Year,College Name,Event Name,Event Date,Student Position
Mohan S,8107202433304,B.tech AI&DS,3rd Year,K Ramakrishna College,Gaminggoo,2023-03-21,Runner up
Gopi S,810720243309,B.E CSE,1st Year,K Ramakrishna College,pulzate,2023-03-05,Runner up
Gopi S,810720243309,B.E CSE,1st Year,CARE college of engineering,Mephistoo,2023-03-14,Runner up
kolo,810720243306,B.E Mechanical,1st Year,SASTRA college of engineering,puklzate,2023-03-11,Participation
jackup,810920243308,B.E ECE,3rd Year,CARE college igf engineering,puklzate,2023-03-03,Winner
Deepa Lakshmi K,728543542563472,B.E Civil,2nd Year,K Ramakrishna College,mephistoo,2023-03-09,Runner up
jhhdc,376487683642,M.E CSE(AI&ML),2nd Year,CARE college of engineering,pulzate,2023-03-15,Runner up
vaiiii,3875426534238,M.E Construction and Management,2nd Year,K Ramakrishna College,Pulzate,2023-03-08,Runner up
octagan,374867711123,M.E Computer Design,3rd Year,jnkujghb,mephistoo,2023-03-17,Runner up
stephen,250000241,MBA,1st Year,K Ramakrishna College,Mephistoo,2023-03-09,Runner up
mohan,374686742,M.E Construction and Management,3rd Year,CARE clg of engineering,puklzate,2023-01-05,Runner up
Deepa Lakshmi K,872684814,M.E Construction and Management,2nd Year,K Ramakrishna College,mephistoo,2023-03-01,Winner
mohan,873648728468,M.E Construction and Management,2nd Year,CARE clg of engineering,mephistoo,2023-03-01,Winner
Mohan S,810720243304,B.tech AI&DS,3rd Year,K Ramakrishna College,Gaming GOO,2023-03-21,Runner up
